genre,total_songs,avg_popularity,total_artists,avg_songs_per_artist
A Capella,119,9.302521008403362,10,11.9
Alternative,9263,50.21342977437116,1450,6.388275862068966
Anime,8936,24.25872873769024,358,24.960893854748605
Blues,9023,34.742879308434,962,9.379417879417879
Children's Music,14756,36.20242613174302,1695,8.705604719764011
Classical,9256,29.28219533275713,731,12.662106703146375
Comedy,9681,21.342629893606034,290,33.38275862068966
Country,8664,46.100415512465375,911,9.510428100987925
Dance,8701,57.27525571773359,930,9.355913978494623
Electronic,9377,38.05609469979738,651,14.403993855606759
Folk,9299,49.94020862458329,1295,7.180694980694981
Hip-Hop,9295,58.42313071543841,1058,8.785444234404537
Indie,9543,54.701561353871945,1879,5.078765300691857
Jazz,9441,40.82438301027434,1611,5.860335195530726
Movie,7806,12.174096848578017,262,29.793893129770993
Opera,8280,13.335628019323671,218,37.981651376146786
Pop,9386,66.59066695077776,1999,4.695347673836919
R&B,8992,52.30871886120996,963,9.33748701973001
Rap,9232,60.53379549393414,979,9.43003064351379
Reggae,17698,36.67561306362301,1099,16.103730664240217
Rock,9272,59.61939171699741,1891,4.903225806451613
Ska,8874,28.6123506874014,397,22.35264483627204
Soul,9089,47.02783584552756,1251,7.265387689848121
Soundtrack,9646,33.954799917064065,308,31.318181818181817
World,9096,35.5240765171504,545,16.689908256880734
